key,value,t
 pocket1 ,627.6739614,0
 pocket1 ,625.1769726,1
 pocket1 ,621.6055203,2
 pocket1 ,601.8119095,3
 pocket1 ,583.4080183,4
 pocket1 ,566.1942733,5
 pocket1 ,569.4663595,6
 pocket1 ,577.1898812,7
 pocket1 ,572.8162266,8
 pocket1 ,563.5439927,9
 pocket1 ,568.0887433,10
 pocket1 ,566.8161418,11
 pocket1 ,556.4535241,12
 pocket1 ,557.2303123,13
 pocket1 ,561.6748305,14
 pocket1 ,579.5481189,15
 pocket1 ,578.3144728,16
 pocket1 ,565.077818,17
 pocket1 ,584.1605009,18
 pocket1 ,590.3040901,19
 pocket1 ,596.1814449,20
 pocket1 ,597.2042834,21
 pocket1 ,591.4196633,22
 pocket1 ,599.3398496,23
 pocket1 ,598.6368548,24
 pocket1 ,586.0314378,25
 pocket1 ,571.1148424,26
 pocket1 ,582.5151353,27
 pocket1 ,583.4352898,28
 pocket1 ,573.0990595,29
 pocket1 ,557.2112216,30
 pocket1 ,548.6857889,31
 pocket1 ,551.8020288,32
 pocket1 ,547.2108812,33
 pocket1 ,554.4789807,34
 pocket1 ,555.5481627,35
 pocket1 ,554.408035,36
 pocket1 ,537.1415702,37
 pocket1 ,532.9679945,38
 pocket1 ,538.6090828,39
 pocket1 ,541.0805884,40
 pocket1 ,527.1679829,41
 pocket1 ,526.761565,42
 pocket1 ,538.3942471,43
 pocket1 ,534.3589109,44
 pocket1 ,529.3469972,45
 pocket1 ,541.0033243,46
 pocket1 ,550.4393339,47
 pocket1 ,550.244588,48
 pocket1 ,550.7513595,49
 pocket1 ,555.462963,50
 pocket1 ,550.8275814,51
 pocket1 ,545.3378625,52
 pocket1 ,526.3863201,53
 pocket1 ,536.3682411,54
 pocket1 ,547.5113538,55
 pocket1 ,538.8220964,56
 pocket1 ,532.0117199,57
 pocket1 ,520.9863891,58
 pocket1 ,512.9224044,59
 pocket1 ,504.1834592,60
 pocket1 ,527.5579455,61
 pocket1 ,543.2751829,62
 pocket1 ,537.7625897,63
 pocket1 ,529.7933509,64
 pocket1 ,522.7425616,65
 pocket1 ,519.2052654,66
 pocket1 ,521.2244653,67
 pocket1 ,535.257683,68
 pocket1 ,542.3508169,69
 pocket1 ,549.5449679,70
 pocket1 ,540.9232611,71
 pocket1 ,524.9409798,72
 pocket1 ,554.4931268,73
 pocket1 ,551.5127207,74
 pocket1 ,553.8174772,75
 pocket1 ,570.9524923,76
 pocket1 ,566.9530755,77
 pocket1 ,555.3883088,78
 pocket1 ,571.3078324,79
 pocket1 ,575.7011428,80
 pocket1 ,566.9118228,81
 pocket1 ,571.7963393,82
 pocket1 ,575.1573759,83
 pocket1 ,566.2379862,84
 pocket1 ,567.6143304,85
 pocket1 ,558.5926628,86
 pocket1 ,572.3719909,87
 pocket1 ,586.9879027,88
 pocket1 ,586.8487382,89
 pocket1 ,596.0139928,90
 pocket1 ,613.5638992,91
 pocket1 ,618.381522,92
 pocket1 ,593.313234,93
 pocket1 ,613.8250279,94
 pocket1 ,627.3598056,95
 pocket1 ,637.2731481,96
 pocket1 ,623.2668977,97
 pocket1 ,623.8009887,98
 pocket1 ,623.2492621,99
 pocket1 ,613.0902617,100
 pocket1 ,617.7070919,101
 pocket1 ,625.2572202,102
 pocket1 ,650.1433532,103
 pocket1 ,652.9765754,104
 pocket1 ,643.3099897,105
 pocket1 ,646.3412107,106
 pocket1 ,662.229663,107
 pocket1 ,660.1948366,108
 pocket1 ,646.228933,109
 pocket1 ,654.8653291,110
 pocket1 ,651.3163182,111
 pocket1 ,644.5215702,112
 pocket1 ,626.5763142,113
 pocket1 ,624.6872713,114
 pocket1 ,628.6641897,115
 pocket1 ,615.9232395,116
 pocket1 ,614.4107984,117
 pocket1 ,614.4107984,118
 pocket1 ,617.9021743,119
 pocket1 ,626.4367933,120
 pocket1 ,650.8475634,121
 pocket1 ,659.7637523,122
 pocket1 ,657.3570003,123
 pocket1 ,661.3378723,124
 pocket1 ,653.0519426,125
 pocket1 ,652.3091681,126
 pocket1 ,649.6026074,127
 pocket1 ,658.1909864,128
 pocket1 ,653.6818071,129
 pocket1 ,626.5703056,130
 pocket1 ,609.1327242,131
 pocket1 ,611.6706505,132
 pocket1 ,629.6006656,133
 pocket1 ,597.8699816,134
 pocket1 ,592.0098925,135
 pocket1 ,597.1579576,136
 pocket1 ,602.9504032,137
 pocket1 ,598.4270993,138
 pocket1 ,614.1966966,139
 pocket1 ,615.1412943,140
 pocket1 ,584.2891563,141
 pocket1 ,586.8860154,142
 pocket1 ,571.3736808,143
 pocket1 ,588.994656,144
 pocket1 ,606.208575,145
 pocket1 ,596.563409,146
 pocket1 ,586.2588972,147
 pocket1 ,574.0242546,148
 pocket1 ,554.4188299,149
 pocket1 ,576.8060305,150
 pocket1 ,586.2388928,151
 pocket1 ,580.2588918,152
 pocket1 ,584.3109675,153
 pocket1 ,574.6846885,154
 pocket1 ,566.3452389,155
 pocket1 ,566.3463308,156
 pocket1 ,568.9212375,157
 pocket1 ,559.6160849,158
 pocket1 ,572.4652214,159
 pocket1 ,566.0662264,160
 pocket1 ,578.1926678,161
 pocket1 ,566.4755993,162
 pocket1 ,571.7642469,163
 pocket1 ,588.2167783,164
 pocket1 ,594.3076872,165
 pocket1 ,604.661357,166
 pocket1 ,612.9268688,167
 pocket1 ,633.7594902,168
 pocket1 ,623.7903202,169
 pocket1 ,631.656139,170
 pocket1 ,633.9510545,171
 pocket1 ,644.2267783,172
 pocket1 ,641.8248368,173
 pocket1 ,627.1115365,174
 pocket1 ,628.4553083,175
 pocket1 ,624.37091,176
 pocket1 ,627.0231024,177
 pocket1 ,621.5330049,178
 pocket1 ,626.7793904,179
 pocket1 ,627.0164051,180
 pocket1 ,634.1869106,181
 pocket1 ,624.3922301,182
 pocket1 ,637.5389705,183
 pocket1 ,637.6625634,184
 pocket1 ,640.6735405,185
 pocket1 ,631.8107197,186
 pocket1 ,603.9009618,187
 pocket1 ,613.2999416,188
 pocket1 ,616.2119586,189
 pocket1 ,605.2117811,190
 pocket1 ,600.8023136,191
 pocket1 ,599.1509226,192
 pocket1 ,592.2054875,193
 pocket1 ,605.66316,194
 pocket1 ,603.9227071,195
 pocket1 ,619.912976,196
 pocket1 ,631.6049421,197
 pocket1 ,630.4927165,198
 pocket1 ,625.0905549,199
 pocket2 ,475.8604482,0
 pocket2 ,474.5000877,1
 pocket2 ,473.5244563,2
 pocket2 ,473.5244563,3
 pocket2 ,458.5557701,4
 pocket2 ,456.1731495,5
 pocket2 ,465.7737331,6
 pocket2 ,464.5808404,7
 pocket2 ,466.0047004,8
 pocket2 ,535.7546437,9
 pocket2 ,524.9101353,10
 pocket2 ,526.7836933,11
 pocket2 ,527.4119162,12
 pocket2 ,524.9094848,13
 pocket2 ,542.692511,14
 pocket2 ,541.9333991,15
 pocket2 ,535.5098384,16
 pocket2 ,525.4244339,17
 pocket2 ,525.0961189,18
 pocket2 ,466.1286466,19
 pocket2 ,480.3076356,20
 pocket2 ,479.4323391,21
 pocket2 ,480.917592,22
 pocket2 ,480.6660339,23
 pocket2 ,480.6660339,24
 pocket2 ,556.2920787,25
 pocket2 ,556.0066113,26
 pocket2 ,571.9016702,27
 pocket2 ,588.6197777,28
 pocket2 ,573.4520649,29
 pocket2 ,583.8999885,30
 pocket2 ,634.2697661,31
 pocket2 ,664.0128984,32
 pocket2 ,661.4712509,33
 pocket2 ,620.1523675,34
 pocket2 ,615.8831069,35
 pocket2 ,618.1410891,36
 pocket2 ,588.8927292,37
 pocket2 ,588.8927292,38
 pocket2 ,666.6685934,39
 pocket2 ,639.4516238,40
 pocket2 ,589.7018275,41
 pocket2 ,578.0260208,42
 pocket2 ,641.7194245,43
 pocket2 ,649.1239628,44
 pocket2 ,623.1517278,45
 pocket2 ,623.0296869,46
 pocket2 ,681.2581238,47
 pocket2 ,662.681935,48
 pocket2 ,631.1219535,49
 pocket2 ,632.3680246,50
 pocket2 ,680.6259483,51
 pocket2 ,705.126746,52
 pocket2 ,700.1436317,53
 pocket2 ,699.5364063,54
 pocket2 ,731.2068631,55
 pocket2 ,732.1697409,56
 pocket2 ,674.2123768,57
 pocket2 ,672.6101224,58
 pocket2 ,651.485838,59
 pocket2 ,630.7963985,60
 pocket2 ,581.6756755,61
 pocket2 ,566.8077018,62
 pocket2 ,512.5041168,63
 pocket2 ,556.7981942,64
 pocket2 ,499.3575194,65
 pocket2 ,498.0481992,66
 pocket2 ,493.2056738,67
 pocket2 ,542.5096933,68
 pocket2 ,541.4974196,69
 pocket2 ,571.2257416,70
 pocket2 ,571.3184409,71
 pocket2 ,575.4247431,72
 pocket2 ,575.3863062,73
 pocket2 ,520.3759345,74
 pocket2 ,582.0378071,75
 pocket2 ,582.2562824,76
 pocket2 ,588.8477885,77
 pocket2 ,535.47081,78
 pocket2 ,538.2487289,79
 pocket2 ,532.6615113,80
 pocket2 ,525.1844653,81
 pocket2 ,526.3072304,82
 pocket2 ,527.0345301,83
 pocket2 ,591.9773408,84
 pocket2 ,536.2608848,85
 pocket2 ,536.8806929,86
 pocket2 ,535.5988694,87
 pocket2 ,534.9918155,88
 pocket2 ,532.4903669,89
 pocket2 ,532.5482966,90
 pocket2 ,538.794109,91
 pocket2 ,580.4650915,92
 pocket2 ,578.8519172,93
 pocket2 ,521.682258,94
 pocket2 ,521.2520779,95
 pocket2 ,525.2880071,96
 pocket2 ,588.6004312,97
 pocket2 ,587.7815484,98
 pocket2 ,648.4761808,99
 pocket2 ,669.1662222,100
 pocket2 ,670.593958,101
 pocket2 ,675.5419207,102
 pocket2 ,704.7186918,103
 pocket2 ,702.8797958,104
 pocket2 ,680.3481465,105
 pocket2 ,656.3390721,106
 pocket2 ,583.2109942,107
 pocket2 ,572.7569733,108
 pocket2 ,541.7747374,109
 pocket2 ,596.0488124,110
 pocket2 ,657.9842223,111
 pocket2 ,607.3745218,112
