key,value,t
pocket1,595.2856170280256,0
pocket1, 567.5320125936383,1
pocket1, 509.6423764558546,2
pocket1, 468.3968120745259,3
pocket1, 479.9657001333632,4
pocket1, 497.1806603096428,5
pocket1, 494.4272698340954,6
pocket1, 467.5920617642966,7
pocket1, 518.1914489113296,8
pocket1, 535.674171719702,9
pocket1, 550.7761912567532,10
pocket1, 551.0626274709878,11
pocket1, 530.2245080735136,12
pocket1, 495.1905106793056,13
pocket1, 515.3829683056067,14
pocket1, 533.9002973598017,15
pocket1, 552.876507966609,16
pocket1, 587.1924968735561,17
pocket1, 542.5920593861165,18
pocket1, 606.3363209944262,19
pocket1, 624.6685841161398,20
pocket1, 618.4316915382444,21
pocket1, 676.4548383748826,22
pocket1, 680.9750927551102,23
pocket1, 637.8819855986993,24
pocket1, 576.2587870031614,25
pocket1, 598.1601791749076,26
pocket1, 572.6885969474322,27
pocket1, 598.8205465070629,28
pocket1, 562.3394942051029,29
pocket1, 536.2160948445098,30
pocket1, 532.4898714884133,31
pocket1, 428.9066339769346,32
pocket1, 548.6529676323731,33
pocket1, 605.6566219305121,34
pocket1, 674.6943667220727,35
pocket1, 641.4330921314515,36
pocket1, 641.4330921314516,37
pocket1, 565.9946715698245,38
pocket1, 533.0696892088645,39
pocket1, 507.6350577333146,40
pocket1, 510.8495042050685,41
pocket1, 561.2685377100105,42
pocket1, 458.77059219513905,43
pocket1, 440.4127229072624,44
pocket1, 407.0279905165565,45
pocket1, 401.8477109010877,46
pocket1, 401.84771090108774,47
pocket1, 420.39653363288653,48
pocket1, 393.37116826265435,49
pocket1, 402.53774280283653,50
pocket1, 451.11604628561844,51
pocket1, 470.9848703428457,52
pocket1, 457.4072525940656,53
pocket1, 479.4886120589791,54
pocket1, 478.4755894924281,55
pocket1, 494.60270890665976,56
pocket1, 465.706527730698,57
pocket1, 470.53693996683455,58
pocket1, 474.29175899959097,59
pocket1, 477.99973860743484,60
pocket1, 435.97387221777626,61
pocket1, 411.6132459404038,62
pocket1, 410.5668488271584,63
pocket1, 394.5085931484664,64
pocket1, 405.8235556177281,65
pocket1, 405.8235556177281,66
pocket1, 480.24606349097456,67
pocket1, 502.12875459107306,68
pocket1, 503.8297934225076,69
pocket1, 567.9598553433195,70
pocket1, 562.7897728813531,71
pocket1, 589.0781707762245,72
pocket1, 574.0293881231328,73
pocket1, 553.9830639421623,74
pocket1, 536.8426538676498,75
pocket1, 519.3873809503975,76
pocket1, 506.5996921601395,77
pocket1, 510.39534493896497,78
pocket1, 532.0114421467758,79
pocket1, 524.6792200579499,80
pocket1, 532.280117825076,81
pocket1, 526.0206232052116,82
pocket1, 517.0642953767747,83
pocket1, 544.5720228161556,84
pocket1, 597.5946328079214,85
pocket1, 611.2906664606649,86
pocket1, 629.1359491967812,87
pocket1, 625.7091652032947,88
pocket1, 632.712349924375,89
pocket1, 572.0009134769684,90
pocket1, 572.0804074828231,91
pocket1, 546.8019780859571,92
pocket1, 582.3710132411746,93
pocket1, 571.1056806142287,94
pocket1, 510.50023782629717,95
pocket1, 534.874035719836,96
pocket1, 483.3791047561588,97
pocket1, 482.7756807608573,98
pocket1, 453.35251691340585,99
pocket2,524.304593679773,0
pocket2, 505.76454723208263,1
pocket2, 517.9572858920525,2
pocket2, 522.4557350553049,3
pocket2, 495.48650960638406,4
pocket2, 432.86431946978365,5
pocket2, 468.75202940882144,6
pocket2, 511.6291959001704,7
pocket2, 498.0809561824485,8
pocket2, 493.18932491688884,9
pocket2, 534.4763785161933,10
pocket2, 530.1179176370044,11
pocket2, 506.6408442682956,12
